price,rsi,vol,DateTime
1072.00,42.8231,1734,26/10/2018 14:15:00
1069.70,31.7043,1390,26/10/2018 14:16:00
1069.40,30.5887,1342,26/10/2018 14:17:00
1069.60,32.2991,1334,26/10/2018 14:18:00
1069.70,33.1856,991,26/10/2018 14:19:00
1070.00,35.8974,848,26/10/2018 14:20:00
1069.60,33.9205,395,26/10/2018 14:21:00
1069.00,31.1495,623,26/10/2018 14:22:00
1069.20,33.1110,340,26/10/2018 14:23:00
1069.50,36.0540,515,26/10/2018 14:24:00
1069.60,37.0483,890,26/10/2018 14:25:00
1071.40,51.6277,781,26/10/2018 14:26:00
1070.40,45.3447,498,26/10/2018 14:27:00
1069.60,41.0415,577,26/10/2018 14:28:00
1069.60,41.0415,652,26/10/2018 14:29:00
1070.50,47.5373,381,26/10/2018 14:30:00
1070.10,45.1561,412,26/10/2018 14:31:00
1070.10,45.1561,322,26/10/2018 14:32:00
1070.80,50.2173,442,26/10/2018 14:33:00
1070.60,48.8307,330,26/10/2018 14:34:00
1071.60,55.4537,1053,26/10/2018 14:35:00
1072.10,58.3560,450,26/10/2018 14:36:00
1071.00,50.5526,795,26/10/2018 14:37:00
1071.00,50.5526,476,26/10/2018 14:38:00
1071.20,51.9086,92,26/10/2018 14:39:00
1071.10,51.1532,597,26/10/2018 14:40:00
1071.00,50.3640,184,26/10/2018 14:41:00
1070.70,47.9726,293,26/10/2018 14:42:00
1070.50,46.3911,292,26/10/2018 14:43:00
1070.50,46.3911,196,26/10/2018 14:44:00
1071.20,52.7181,466,26/10/2018 14:45:00
1071.40,54.3750,246,26/10/2018 14:46:00
1071.20,52.3976,238,26/10/2018 14:47:00
1071.10,51.3913,134,26/10/2018 14:48:00
1071.00,50.3500,97,26/10/2018 14:49:00
1071.00,50.3500,120,26/10/2018 14:50:00
1071.10,51.4900,87,26/10/2018 14:51:00
1071.00,50.2475,202,26/10/2018 14:52:00
1071.40,54.9322,222,26/10/2018 14:53:00
1071.10,51.0497,115,26/10/2018 14:54:00
1070.00,39.9112,964,26/10/2018 14:55:00
1070.30,43.5300,414,26/10/2018 14:56:00
1069.70,38.5319,940,26/10/2018 14:57:00
1069.20,34.9323,577,26/10/2018 14:58:00
1068.10,28.6019,1288,26/10/2018 14:59:00
1069.60,43.6090,1262,26/10/2018 15:00:00
1070.00,46.8191,777,26/10/2018 15:01:00
1070.30,49.1568,303,26/10/2018 15:02:00
1070.00,46.9350,498,26/10/2018 15:03:00
1070.40,50.1691,453,26/10/2018 15:04:00
1069.70,45.0004,669,26/10/2018 15:05:00
1069.30,42.3174,380,26/10/2018 15:06:00
1069.80,46.6030,373,26/10/2018 15:07:00
1070.30,50.5588,279,26/10/2018 15:08:00
1069.70,46.1413,295,26/10/2018 15:09:00
1069.80,46.9729,177,26/10/2018 15:10:00
